,ï»¿counter,projHist0,projHist1,projHist2,projHist3,projHist4,projHist5,projHist6,projHist7,projHist8,projHist9,projHist10,projHist11,projHist12,projHist13,projHist14,projHist15,projHist16,projHist17,projHist18,projHist19,projHist20,projHist21,projHist22,projHist23,projHist24,projHist25,projHist26,projHist27,projHist28,projHist29,projHist30,projHist31,projHist32,projHist33,projHist34,projHist35,projHist36,projHist37,projHist38,projHist39,projHist40,projHist41,projHist42,projHist43,projHist44,projHist45,projHist46,projHist47,projHist48,projHist49,projHist50,projHist51,projHist52,projHist53,projHist54,projHist55,projHist56,projHist57,projHist58,projHist59,projHist60,projHist61,projHist62,projHist63,projHist64,projHist65,projHist66,projHist67,projHist68,projHist69,projHist70,projHist71,projHist72,projHist73,projHist74,projHist75,projHist76,projHist77,projHist78,projHist79,projHist80,projHist81,projHist82,projHist83,projHist84,projHist85,projHist86,projHist87,projHist88,projHist89,projHist90,projHist91,projHist92,projHist93,projHist94,projHist95,projHist96,projHist97,projHist98,projHist99,projHist100,projHist101,projHist102,projHist103,projHist104,projHist105,projHist106,projHist107,projHist108,projHist109,projHist110,projHist111,projHist112,projHist113,projHist114,projHist115,projHist116,projHist117,projHist118,projHist119,projHist120,projHist121,projHist122,projHist123,projHist124,projHist125,projHist126,projHist127,projHistH0,projHistH1,projHistH2,projHistH3,projHistH4,projHistH5,projHistH6,projHistH7,projHistH8,projHistH9,projHistH10,projHistH11,projHistH12,projHistH13,projHistH14,projHistH15,projHistH16,projHistH17,projHistH18,projHistH19,projHistH20,projHistH21,projHistH22,projHistH23,projHistH24,projHistH25,projHistH26,projHistH27,projHistH28,projHistH29,projHistH30,projHistH31,projHistH32,projHistH33,projHistH34,projHistH35,projHistH36,projHistH37,projHistH38,projHistH39,projHistH40,projHistH41,projHistH42,projHistH43,projHistH44,projHistH45,projHistH46,projHistH47,projHistH48,projHistH49,projHistH50,projHistH51,projHistH52,projHistH53,projHistH54,projHistH55,projHistH56,projHistH57,projHistH58,projHistH59,projHistH60,projHistH61,projHistH62,projHistH63,projHistH64,projHistH65,projHistH66,projHistH67,projHistH68,projHistH69,projHistH70,projHistH71,projHistH72,projHistH73,projHistH74,projHistH75,projHistH76,projHistH77,projHistH78,projHistH79,projHistH80,projHistH81,projHistH82,projHistH83,projHistH84,projHistH85,projHistH86,projHistH87,projHistH88,projHistH89,projHistH90,projHistH91,projHistH92,projHistH93,projHistH94,projHistH95,projHistH96,projHistH97,projHistH98,projHistH99,projHistH100,projHistH101,projHistH102,projHistH103,projHistH104,projHistH105,projHistH106,projHistH107,projHistH108,projHistH109,projHistH110,projHistH111,projHistH112,projHistH113,projHistH114,projHistH115,projHistH116,projHistH117,projHistH118,projHistH119,projHistH120,projHistH121,projHistH122,projHistH123,projHistH124,projHistH125,projHistH126,projHistH127,ratioBlackWhite,verticalSymmetry,horizontalSymmetry,diagonalSymmetry14,diagonalSymmetry23
0,0,42,27,33,21,6,0,6,3,0,9,9,9,0,0,0,0,6,3,3,9,0,9,6,3,3,0,0,6,0,9,0,0,3,0,3,0,3,0,9,3,3,0,0,0,3,3,3,0,6,9,6,3,3,3,3,3,3,0,0,0,3,3,3,3,3,3,0,0,0,0,0,6,0,0,0,3,3,3,0,0,0,3,3,0,0,0,0,0,0,0,3,0,3,12,3,3,3,0,9,0,6,0,0,0,0,0,0,0,3,0,0,3,6,3,3,0,21,0,3,6,3,12,9,12,9,6,6,12,69,3,0,0,0,0,12,6,6,6,3,0,0,6,6,6,0,0,0,0,3,0,0,3,3,15,6,6,0,0,12,3,0,0,0,3,3,0,0,3,0,0,0,0,0,0,3,6,12,15,9,0,0,3,6,0,0,0,0,3,9,12,12,9,12,6,6,9,9,6,6,12,6,12,0,0,0,0,0,0,0,0,3,0,3,3,3,0,3,0,3,3,0,0,0,3,3,6,0,3,0,0,0,0,0,6,3,6,0,0,3,6,0,0,6,6,9,3,0,9,0,0,0,12,6,3,3,9,,0,0,0,0
1,1,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,99,96,93,93,96,93,87,87,84,78,60,63,63,60,60,60,48,48,42,36,36,36,36,42,48,48,45,45,48,48,54,51,57,57,57,57,57,57,57,60,69,69,66,72,75,81,90,90,15,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,6,3,6,9,9,6,6,12,12,12,18,24,30,36,39,57,60,66,66,63,60,66,72,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,63,69,60,3,3,0,0,0,0,72,81,72,72,72,72,72,72,81,84,87,84,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,87,102,111,129,102,3,0,0,18,15,0,0,0,0,0,0,6,123,24,9,12,15,15,6,0,0,0,0,6,0,24,72,120,192,192,123,72,60,54,24,48,48,27,66,75,75,87,105,105,102,84,96,96,96,96,126,132,171,192,192,192,192,9,0,0,0,0,0,0,0,0,0,72,78,78,78,78,78,78,75,75,72,72,60,3,0,0,0,0,63,66,,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,6,0,0,9,6,3,0,3,3,0,0,0,0,0,3,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0,0,0,3,0,6,0,0,0,3,6,6,6,6,3,12,3,3,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,3,0,6,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,6,6,0,0,0,3,0,0,6,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,24,3,18,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,6,0,0,3,3,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,3,,0,0,0,0
3,3,18,36,6,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,3,0,3,3,3,3,3,6,3,3,6,9,6,6,6,0,3,6,3,6,12,3,6,6,3,9,6,3,9,9,3,6,6,3,3,3,6,0,0,0,0,0,0,0,0,0,3,9,15,15,3,9,6,0,3,0,0,0,3,3,3,3,0,0,3,3,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,27,24,78,0,3,12,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,6,6,6,6,9,6,0,0,0,0,0,3,0,0,0,15,12,15,24,3,3,0,6,0,3,6,6,0,0,9,6,6,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,6,0,3,0,3,6,6,0,0,6,0,6,6,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,21,9,18,,0,0,0,1
4,4,24,21,21,24,33,24,18,24,3,0,9,6,0,6,6,6,3,6,3,3,3,9,6,3,3,3,6,6,6,6,6,0,0,6,3,0,3,9,3,9,0,0,0,0,0,0,9,0,0,6,6,6,12,3,0,0,0,6,6,6,3,3,3,0,3,6,3,0,0,0,0,0,3,3,3,3,3,0,0,0,3,3,3,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,6,3,3,3,3,3,3,6,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,3,0,3,0,6,0,6,12,12,0,0,0,0,0,0,3,0,0,3,3,6,9,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,3,0,3,0,0,3,0,0,3,0,0,0,0,3,0,0,0,3,6,6,3,3,0,9,12,9,12,12,18,24,24,9,6,3,6,9,6,0,0,0,3,0,0,0,3,0,0,3,6,3,0,0,0,3,3,0,9,0,9,0,6,6,3,3,9,0,0,0,3,0,0,3,9,9,6,3,3,3,0,3,0,18,9,15,12,12,36,,0,0,0,0
5,5,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,9,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,,0,1,0,0
6,6,12,9,3,9,21,12,33,6,9,12,3,3,0,6,3,6,6,3,9,9,3,3,3,3,0,0,0,3,9,6,3,9,6,6,6,6,6,9,12,15,6,6,9,9,9,12,9,12,24,30,30,27,21,21,15,15,9,12,18,15,9,9,9,18,12,12,12,9,15,24,24,24,24,21,21,18,18,15,15,9,15,12,12,12,9,9,9,12,15,15,21,24,9,12,15,15,12,9,18,12,6,3,3,3,6,6,6,9,9,9,9,6,3,3,3,3,3,3,3,3,3,6,6,3,3,6,6,6,84,63,21,9,21,90,0,0,0,3,3,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,54,36,45,3,12,6,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,3,12,6,6,0,3,0,0,0,0,0,0,111,93,174,111,126,165,,1,0,0,0
7,7,6,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,6,3,3,3,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,,0,0,0,0
8,8,51,69,0,12,24,3,6,9,6,15,6,3,3,6,12,3,9,3,6,3,6,9,9,0,9,3,3,0,9,6,0,6,0,6,3,3,6,6,6,6,9,6,6,6,3,6,6,3,3,6,3,15,3,0,12,12,3,9,3,0,6,6,6,0,6,9,9,3,9,6,9,15,3,0,3,3,9,9,6,6,15,9,0,0,9,6,6,9,6,3,9,18,3,12,3,0,3,0,3,0,3,3,0,3,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,3,3,3,0,0,0,0,0,27,9,6,0,3,0,6,3,0,0,3,0,0,3,3,3,6,3,3,6,3,6,9,0,3,0,3,0,3,3,0,3,0,0,6,3,3,0,0,0,3,0,3,6,0,3,3,3,9,0,0,3,3,3,9,3,3,3,0,0,6,3,9,0,0,9,0,0,6,0,6,0,3,21,9,6,12,3,3,6,9,3,12,3,6,6,3,9,9,9,12,6,15,33,6,45,6,12,36,9,6,6,12,6,9,6,9,3,9,9,6,0,3,6,3,9,0,3,6,0,12,9,15,3,6,18,9,30,,0,0,0,0
9,9,0,6,9,63,0,18,33,3,0,0,0,0,0,0,3,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,0,3,3,0,0,0,3,3,3,3,3,3,6,6,6,6,3,3,3,3,3,6,6,6,6,6,0,3,3,3,3,3,3,3,3,3,3,3,6,6,0,0,0,0,3,3,3,3,0,0,3,0,0,6,3,3,3,0,0,3,3,0,0,0,3,6,3,3,3,0,0,3,3,0,0,0,0,0,0,12,69,36,69,60,54,30,0,0,0,0,0,0,3,0,0,0,0,3,3,6,0,0,3,3,3,3,0,0,0,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,9,3,3,9,6,12,6,9,9,9,3,6,6,9,15,51,159,24,15,15,15,3,6,12,3,6,3,3,9,0,3,0,0,0,3,3,3,3,9,9,6,12,12,9,9,9,9,9,9,3,0,0,9,9,3,3,3,3,3,0,6,6,6,3,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,,0,0,1,0
